Food_ID,Food_Name,Alias,Category,Meal_Type,Serving_Size,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Veg_NonVeg,Health_Rating,WeightLoss,MuscleGain,WeightGain,HealthyLifestyle
1,Poha,"Flattened Rice, Chivda",Breakfast,Breakfast,1 Plate (200g),250,6.2,45.0,5.5,3.5,3.0,420,Veg,B,Yes,No,Moderate,Yes
2,Kanda Poha,Onion Poha,Breakfast,Breakfast,1 Plate (200g),260,6.5,46.0,6.0,3.5,3.0,430,Veg,B,Yes,No,Moderate,Yes
3,Batata Poha,Potato Poha,Breakfast,Breakfast,1 Plate (220g),290,5.5,50.0,8.0,4.0,4.0,470,Veg,C,Moderate,No,Yes,Moderate
4,Indori Poha,Indori Poha,Breakfast,Breakfast,1 Plate (220g),310,7.0,52.0,8.0,4.0,5.0,480,Veg,C,Moderate,Moderate,Yes,Moderate
5,Upma,"Rava Upma, Uppittu",Breakfast,Breakfast,1 Plate (200g),230,5.4,38.0,6.5,3.2,2.0,390,Veg,B,Yes,No,Moderate,Yes
6,Vegetable Upma,Vegetable Upma,Breakfast,Breakfast,1 Plate (220g),240,6.5,40.0,6.0,4.5,3.0,380,Veg,A,Yes,No,Moderate,Yes
7,Rava Upma,Rava Upma,Breakfast,Breakfast,1 Plate (200g),245,5.8,41.0,6.5,3.0,2.0,390,Veg,B,Yes,No,Moderate,Yes
8,Idli,Steamed Rice Cake,Breakfast,Breakfast,2 Pieces (120g),150,5.0,30.0,1.2,2.0,1.0,280,Veg,A,Yes,No,Moderate,Yes
9,Mini Idli,Mini Idli,Breakfast,Breakfast,8 Pieces (120g),155,5.2,31.0,1.5,2.0,1.0,290,Veg,A,Yes,No,Moderate,Yes
10,Rava Idli,Rava Idli,Breakfast,Breakfast,2 Pieces (140g),180,6.0,34.0,3.0,2.0,2.0,330,Veg,A,Yes,No,Moderate,Yes
11,Medu Vada,Urad Dal Vada,Breakfast,Breakfast,2 Pieces (140g),320,7.0,32.0,18.0,3.0,1.0,510,Veg,D,No,Moderate,Yes,Moderate
12,Sambar Vada,Sambar Vada,Breakfast,Breakfast,2 Pieces (220g),350,10.0,40.0,18.0,5.0,3.0,620,Veg,C,Moderate,Moderate,Yes,Moderate
13,Plain Dosa,Plain Dosa,Breakfast,Breakfast,1 Piece (150g),180,5.0,30.0,5.0,2.0,1.0,320,Veg,A,Yes,No,Moderate,Yes
14,Masala Dosa,Potato Stuffed Dosa,Breakfast,Breakfast,1 Piece (250g),385,8.5,48.0,16.0,4.0,2.0,620,Veg,C,Moderate,Moderate,Yes,Moderate
15,Mysore Masala Dosa,Mysore Masala Dosa,Breakfast,Breakfast,1 Piece (260g),420,9.0,52.0,18.0,4.0,2.0,690,Veg,D,No,Moderate,Yes,Moderate
16,Rava Dosa,Rava Dosa,Breakfast,Breakfast,1 Piece (180g),240,6.0,35.0,8.0,2.0,2.0,450,Veg,B,Moderate,No,Moderate,Yes
17,Onion Dosa,Onion Dosa,Breakfast,Breakfast,1 Piece (180g),230,6.0,34.0,7.0,2.0,2.0,430,Veg,B,Moderate,No,Moderate,Yes
18,Paper Dosa,Paper Dosa,Breakfast,Breakfast,1 Piece (180g),210,5.0,34.0,6.0,2.0,1.0,400,Veg,B,Yes,No,Moderate,Yes
